date,amount,description,transaction_type,source
2025-11-21,-58.95,REDDY EXPRESS  2138       VASSE,expense,ANZ
2025-11-19,-18.0,MCD FWY SOUTH             BALDIVIS,expense,ANZ
2025-11-19,-48.15,BP BALDIVIS SB 7374       BALDIVIS,expense,ANZ
2025-11-18,-71.6,COLES 0297                DUNSBOROUGH,expense,ANZ
2025-11-17,-26.39,PLANET ROYALE             NORTHBRIDGE,expense,ANZ
2025-11-17,-62.4,GAMI CHICKEN              PERTH WA,expense,ANZ
2025-11-17,-16.24,MURRAY MEWS               PERTH,expense,ANZ
2025-11-17,-16.26,FLIGHT CLUB               PERTH,expense,ANZ
2025-11-17,-10.15,MURRAY MEWS               PERTH,expense,ANZ
2025-11-17,-56.81,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-11-17,-32.72,CHIM LAM PTY LTD          WINTHROP,expense,ANZ
2025-11-17,-58.36,MONSTERA THAI KITCHE      CLOVERDALE,expense,ANZ
2025-11-17,-12.45,THE SHOREHOUSE PERTH      SWANBOURNE,expense,ANZ
2025-11-14,-7.3,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-11-14,-13.18,U & I CAFE                NORTHBRIDGE,expense,ANZ
2025-11-14,-14.21,WU TANG FRIED CHICKEN     KEWDALE,expense,ANZ
2025-11-14,-43.4,READING CINEMAS           SOUTH MELBOUR,expense,ANZ
2025-11-13,-40.72,SQ *LUXURIOUS BARBER ON H WEST PERTH,expense,ANZ
2025-11-13,-9.5,SQ *PIETRO GELATERIA      EAST VICTORIA,expense,ANZ
2025-11-13,-83.93,PHARM777ROKEBYRD          SUBIACO,expense,ANZ
2025-11-13,-74.3,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-11-13,-32.64,AMPOL FORREST H 51001F    WEST PINJARRA,expense,ANZ
2025-11-12,-16.7,SQ *TOTALLY RENDANG       WEST PERTH,expense,ANZ
2025-11-11,2215.0,PAYMENT - THANKYOU,income,ANZ
2025-11-11,-21.22,WILD HOP BREWING CO       YALLINGUP,expense,ANZ
2025-11-11,-55.59,WILD HOP BREWING CO       YALLINGUP,expense,ANZ
2025-11-11,-11.12,WILD HOP BREWING CO       YALLINGUP,expense,ANZ
2025-11-11,-68.05,7-ELEVEN 3096             DUNSBOROUGH,expense,ANZ
2025-11-10,-23.9,LS ALFA OMEGA PTY LTD     WEST PERTH,expense,ANZ
2025-11-10,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-11-10,-16.0,LET'S EAT                 WEST PERTH,expense,ANZ
2025-11-07,-6.8,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-11-07,-54.54,SQ *POPO LEE              1800595310,expense,ANZ
2025-11-06,-61.15,AMPOL FORREST H 51001F    WEST PINJARRA,expense,ANZ
2025-11-05,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-11-05,-16.45,KFC PINJARRA              PINJARRA,expense,ANZ
2025-11-05,-17.85,MCDONALDS VASSE           VASSE,expense,ANZ
2025-11-05,-66.68,BP BALDIVIS SB 7374       BALDIVIS,expense,ANZ
2025-11-03,-60.73,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-11-03,-74.99,IINET LTD N               SYDNEY,expense,ANZ
2025-11-03,-194.58,KANPAI (AUS) P/L          VICTORIA PARK,expense,ANZ
2025-10-30,-238.27,SINGAPORE MARATHON        SINGAPORE  195.00  SGD 8.06 AUD,expense,ANZ
2025-10-30,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-10-29,-15.99,SPOTIFY P3BDB53F91        SYDNEY,expense,ANZ
2025-10-29,-30.0,MCDONALDS PERTH AIR       PERTH AIRPORT,expense,ANZ
